CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONU104,납품업체단가,해당없음,"CONDUIT UNION CAST IRON H.D.G(PF""M""xPF""F"")","104mm (4"")",EA,1,33500,33500,0,0,,,33500,
CONA22,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",22mm x XXmm,EA,1,1030,1030,0,0,,,1030,
CONA28,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",28mm x XXmm,EA,1,1200,1200,0,0,,,1200,
CONA36,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",36mm x XXmm,EA,1,1820,1820,0,0,,,1820,
CONA42,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",42mm x XXmm,EA,1,2510,2510,0,0,,,2510,
CONA54,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",54mm x XXmm,EA,1,3720,3720,0,0,,,3720,
CONA70,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",70mm x XXmm,EA,1,6400,6400,0,0,,,6400,
CONA82,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",82mm x XXmm,EA,1,9280,9280,0,0,,,9280,
CONA104,납품업체단가,해당없음,"ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED",104mm x XXmm,EA,1,14300,14300,0,0,,,14300,
CONR22,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",22mm x XXmm,EA,1,860,860,0,0,,,860,
CONR28,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",28mm x XXmm,EA,1,1080,1080,0,0,,,1080,
CONR36,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",36mm x XXmm,EA,1,1440,1440,0,0,,,1440,
CONR42,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",42mm x XXmm,EA,1,1750,1750,0,0,,,1750,
CONR54,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",54mm x XXmm,EA,1,2510,2510,0,0,,,2510,
CONR70,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",70mm x XXmm,EA,1,4710,4710,0,0,,,4710,
CONR82,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",82mm x XXmm,EA,1,7520,7520,0,0,,,7520,
CONR104,납품업체단가,해당없음,"REDUCER(""M""x""F"") STEEL W/ELECTRO GALVANIZED",104mm x XXmm,EA,1,11290,11290,0,0,,,11290,
CONSV16,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"16mm (1/2"")",EA,1,2910,2910,10947,10947,,,13857,FORM 7
CONSV22,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"22mm (3/4"")",EA,1,3400,3400,10947,10947,,,14347,FORM 7
CONSV28,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"28mm (1"")",EA,1,4830,4830,10947,10947,,,15777,FORM 7
CONSV36,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"36mm (11/4"")",EA,1,6460,6460,10947,10947,,,17407,FORM 7
CONSV42,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"42mm (11/2"")",EA,1,8300,8300,21894,21894,,,30194,FORM 7
CONSV54,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"54mm (2"")",EA,1,11830,11830,21894,21894,,,33724,FORM 7
CONSV70,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"70mm (21/2"")",EA,1,23930,23930,32841,32841,,,56771,FORM 7
CONSV82,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"82mm (3"")",EA,1,28970,28970,32841,32841,,,61811,FORM 7
CONSV104,납품업체단가,전-5-29,SEALING FITTING(VERTICAL) CAST IRON W/H.D.G Ex d IIC,"104mm (4"")",EA,1,42780,42780,32841,32841,,,75621,FORM 7
CONSH16,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"16mm (1/2"")",EA,1,4260,4260,10947,10947,,,15207,FORM 7
CONSH22,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"22mm (3/4"")",EA,1,4780,4780,10947,10947,,,15727,FORM 7
CONSH28,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"28mm (1"")",EA,1,6120,6120,10947,10947,,,17067,FORM 7
CONSH36,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"36mm (11/4"")",EA,1,7810,7810,10947,10947,,,18757,FORM 7
