CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONFCP541000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x1000L",EA,1,85800,85800,44663,44663,,,130463,
CONFCP701000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x1000L",EA,1,178670,178670,51232,51232,,,229902,
CONFCP821000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x1000L",EA,1,229450,229450,57800,57800,,,287250,
CONFCP1041000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x1000L",EA,1,374100,374100,70936,70936,,,445036,
CONFCB16500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x500L",EA,1,19519,19519,14450,14450,,,33969,
CONFCB22500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x500L",EA,1,24024,24024,19376,19376,,,43400,
CONFCB28500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x500L",EA,1,32760,32760,23645,23645,,,56405,
CONFCB36500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x500L",EA,1,46410,46410,28571,28571,,,74981,
CONFCB42500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x500L",EA,1,58695,58695,34154,34154,,,92849,
CONFCB54500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x500L",EA,1,78487,78487,44663,44663,,,123150,
CONFCB70500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x500L",EA,1,171990,171990,51232,51232,,,223222,
CONFCB82500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x500L",EA,1,217035,217035,57800,57800,,,274835,
CONFCB104500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x500L",EA,1,348075,348075,70936,70936,,,419011,
CONFCB16700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x700L",EA,1,21000,21000,14450,14450,,,35450,
CONFCB22700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x700L",EA,1,25935,25935,19376,19376,,,45311,
CONFCB28700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x700L",EA,1,35217,35217,23645,23645,,,58862,
CONFCB36700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x700L",EA,1,49413,49413,28571,28571,,,77984,
CONFCB42700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x700L",EA,1,62244,62244,34154,34154,,,96398,
CONFCB54700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x700L",EA,1,83128,83128,44663,44663,,,127791,
CONFCB70700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x700L",EA,1,178815,178815,51232,51232,,,230047,
CONFCB82700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x700L",EA,1,226590,226590,57800,57800,,,284390,
CONFCB104700,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x700L",EA,1,367185,367185,70936,70936,,,438121,
CONFCB161000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x1000L",EA,1,23247,23247,14450,14450,,,37697,
CONFCB221000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x1000L",EA,1,28581,28581,19376,19376,,,47957,
CONFCB281000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x1000L",EA,1,38608,38608,23645,23645,,,62253,
CONFCB361000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x1000L",EA,1,53917,53917,28571,28571,,,82488,
CONFCB421000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x1000L",EA,1,67567,67567,34154,34154,,,101721,
CONFCB541000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x1000L",EA,1,90090,90090,44663,44663,,,134753,
CONFCB701000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x1000L",EA,1,187603,187603,51232,51232,,,238835,
CONFCB821000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"82mm (3"")x1000L",EA,1,240922,240922,57800,57800,,,298722,
CONFCB1041000,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(BARRIER TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"104mm (4"")x1000L",EA,1,392805,392805,70936,70936,,,463741,
CONPG16,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,6140,6140,10947,10947,,,17087,SINGLE PACKING
CONPG22,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,7240,7240,10947,10947,,,18187,SINGLE PACKING
CONPG28,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,10180,10180,10947,10947,,,21127,SINGLE PACKING
CONPG36,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,15050,15050,10947,10947,,,25997,SINGLE PACKING
CONPG42,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,19720,19720,21894,21894,,,41614,SINGLE PACKING
CONPG54,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,26000,26000,21894,21894,,,47894,SINGLE PACKING
CONPG70,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,59570,59570,32841,32841,,,92411,SINGLE PACKING
CONPG82,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,72260,72260,32841,32841,,,105101,SINGLE PACKING
CONPG104,납품업체단가,전-5-29,PACKING TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,116870,116870,32841,32841,,,149711,SINGLE PACKING
CONCG16,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,6447,6447,10947,10947,,,17394,
CONCG22,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,7602,7602,10947,10947,,,18549,
CONCG28,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,10689,10689,10947,10947,,,21636,
CONCG36,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,15802,15802,10947,10947,,,26749,
CONCG42,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,20706,20706,21894,21894,,,42600,
CONCG54,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,27300,27300,21894,21894,,,49194,
CONCG70,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,62548,62548,32841,32841,,,95389,
CONCG82,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,75873,75873,32841,32841,,,108714,
CONCG104,납품업체단가,전-5-29,COMPOUND BARRIER TYPE CABLE GLAND BRASS W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,122713,122713,32841,32841,,,155554,
CONSD16,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,0,0,13136,13136,,,13136,
CONSD22,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,0,0,13136,13136,,,13136,
CONSD28,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,0,0,13136,13136,,,13136,
CONSD36,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,0,0,13136,13136,,,13136,
CONSD42,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,0,0,26272,26272,,,26272,
CONSD54,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,0,0,26272,26272,,,26272,
CONSD70,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,0,0,39409,39409,,,39409,
CONSD82,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,0,0,39409,39409,,,39409,
CONSD104,조사중,전-5-29,SEALING DEVICE BRASS W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,0,0,39409,39409,,,39409,
CONDP16,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","16mm (1/2"")",EA,1,3000,3000,0,0,,,3000,
CONDP22,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","22mm (3/4"")",EA,1,4030,4030,0,0,,,4030,
CONDP28,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","28mm (1"")",EA,1,4200,4200,0,0,,,4200,
CONDP36,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","36mm (11/4"")",EA,1,4820,4820,0,0,,,4820,
CONDP42,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","42mm (11/2"")",EA,1,5510,5510,0,0,,,5510,
CONDP54,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","54mm (2"")",EA,1,6720,6720,0,0,,,6720,
CONDP70,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","70mm (21/2"")",EA,1,9400,9400,0,0,,,9400,
CONDP82,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","82mm (3"")",EA,1,12280,12280,0,0,,,12280,
CONDP104,납품업체단가,해당없음,"DRAIN PLUG SUS304 W/ADAPTOR(""M""x""F"") STEEL W/ELECTRO GALVANIZED","104mm (4"")",EA,1,17300,17300,0,0,,,17300,
CONP16,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"16mm (1/2"")",EA,1,440,440,0,0,,,440,
CONP22,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"22mm (3/4"")",EA,1,480,480,0,0,,,480,
CONP28,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"28mm (1"")",EA,1,760,760,0,0,,,760,
CONP36,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"36mm (11/4"")",EA,1,1090,1090,0,0,,,1090,
CONP42,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"42mm (11/2"")",EA,1,1360,1360,0,0,,,1360,
CONP54,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"54mm (2"")",EA,1,1660,1660,0,0,,,1660,
CONP70,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"70mm (21/2"")",EA,1,3270,3270,0,0,,,3270,
CONP82,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"82mm (3"")",EA,1,5120,5120,0,0,,,5120,
CONP104,납품업체단가,해당없음,CONDUIT PLUG ALUMINUM DIE CASTING W/ORING GASKET,"104mm (4"")",EA,1,6470,6470,0,0,,,6470,
CONP16,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,140,140,0,0,,,140,
CONP22,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,200,200,0,0,,,200,
CONP28,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,330,330,0,0,,,330,
CONP36,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,500,500,0,0,,,500,
CONP42,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,670,670,0,0,,,670,
CONP54,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,950,950,0,0,,,950,
CONP70,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,1630,1630,0,0,,,1630,
CONP82,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,2570,2570,0,0,,,2570,
CONP104,납품업체단가,해당없음,BUSHING ZINC W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,4710,4710,0,0,,,4710,
CONLN16,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,90,90,0,0,,,90,
CONLN22,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,120,120,0,0,,,120,
CONLN28,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,220,220,0,0,,,220,
CONLN36,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,320,320,0,0,,,320,
CONLN42,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,430,430,0,0,,,430,
CONLN54,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,690,690,0,0,,,690,
CONLN70,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,1160,1160,0,0,,,1160,
CONLN82,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,1520,1520,0,0,,,1520,
CONLN104,납품업체단가,해당없음,LOCK NUT STEEL W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,2070,2070,0,0,,,2070,
CONC16,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"16mm (1/2"")",EA,1,380,380,0,0,,,380,
CONC22,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"22mm (3/4"")",EA,1,520,520,0,0,,,520,
CONC28,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"28mm (1"")",EA,1,760,760,0,0,,,760,
CONC36,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"36mm (11/4"")",EA,1,1110,1110,0,0,,,1110,
CONC42,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"42mm (11/2"")",EA,1,1270,1270,0,0,,,1270,
CONC54,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"54mm (2"")",EA,1,1980,1980,0,0,,,1980,
CONC70,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"70mm (21/2"")",EA,1,3580,3580,0,0,,,3580,
CONC82,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"82mm (3"")",EA,1,4930,4930,0,0,,,4930,
CONC104,납품업체단가,해당없음,CONDUIT COUPLING STEEL W/ELECTRO GALVANIZED,"104mm (4"")",EA,1,7290,7290,0,0,,,7290,
CONN16,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"16mm (1/2"")",EA,1,2470,2470,26272,26272,,,28742,PF THREAD
CONN22,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"22mm (3/4"")",EA,1,2910,2910,36125,36125,,,39035,PF THREAD
CONN28,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"28mm (1"")",EA,1,4300,4300,45977,45977,,,50277,PF THREAD
CONN36,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"36mm (11/4"")",EA,1,5920,5920,65682,65682,,,71602,PF THREAD
CONN42,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"42mm (11/2"")",EA,1,7670,7670,82102,82102,,,89772,PF THREAD
CONN54,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"54mm (2"")",EA,1,11570,11570,111659,111659,,,123229,PF THREAD
CONN70,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"70mm (21/2"")",EA,1,18720,18720,144500,144500,,,163220,PF THREAD
CONN82,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"82mm (3"")",EA,1,25610,25610,177342,177342,,,202952,PF THREAD
CONN104,납품업체단가,전-5-1⑦,NORMAL BEND STEEL W/H.D.G,"104mm (4"")",EA,1,51350,51350,233171,233171,,,284521,PF THREAD
CONCL16,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"16mm (1/2"")",EA,1,410,410,0,0,,,410,
CONCL22,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"22mm (3/4"")",EA,1,430,430,0,0,,,430,
CONCL28,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"28mm (1"")",EA,1,510,510,0,0,,,510,
CONCL36,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"36mm (11/4"")",EA,1,620,620,0,0,,,620,
CONCL42,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"42mm (11/2"")",EA,1,730,730,0,0,,,730,
CONCL54,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"54mm (2"")",EA,1,820,820,0,0,,,820,
CONCL70,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"70mm (21/2"")",EA,1,1020,1020,0,0,,,1020,
CONCL82,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"82mm (3"")",EA,1,1200,1200,0,0,,,1200,
CONCL104,납품업체단가,해당없음,CODNUIT CLAMP W/H.D.G,"104mm (4"")",EA,1,1610,1610,0,0,,,1610,
TCON19,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E19,M,1,2547,2547,13683,13683,,,16230,
TCON25,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E25,M,1,3354,3354,16420,16420,,,19774,
TCON31,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E31,M,1,4696,4696,21894,21894,,,26590,
TCON39,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E39,M,1,5840,5840,27367,27367,,,33207,
TCON51,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E51,M,1,7784,7784,35577,35577,,,43361,
TCON63,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E63,M,1,11138,11138,51998,51998,,,63136,
TCON75,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT W/H.D.G,E75,M,1,14049,14049,76629,76629,,,90678,
TCONCB19,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E19,EA,1,977,977,0,0,,,977,
TCONCB25,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E25,EA,1,1193,1193,0,0,,,1193,
TCONCB31,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E31,EA,1,1467,1467,0,0,,,1467,
TCONCB39,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E39,EA,1,2131,2131,0,0,,,2131,
TCONCB51,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E51,EA,1,3203,3203,0,0,,,3203,
TCONCB63,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E63,EA,1,4220,4220,0,0,,,4220,
TCONCB75,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(BOLT TYPE),E75,EA,1,5227,5227,0,0,,,5227,
TCONCNB19,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E19,EA,1,1279,1279,0,0,,,1279,
TCONCNB25,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E25,EA,1,1480,1480,0,0,,,1480,
TCONCNB31,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E31,EA,1,1781,1781,0,0,,,1781,
TCONCNB39,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E39,EA,1,2334,2334,0,0,,,2334,
TCONCNB51,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E51,EA,1,3508,3508,0,0,,,3508,
TCONCNB63,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E63,EA,1,4471,4471,0,0,,,4471,
TCONCNB75,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(BOLT TYPE),E75,EA,1,5885,5885,0,0,,,5885,
TCONCO19,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E19,EA,1,4950,4950,0,0,,,4950,
TCONCO25,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E25,EA,1,5295,5295,0,0,,,5295,
TCONCO31,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E31,EA,1,6307,6307,0,0,,,6307,
TCONCO39,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E39,EA,1,8126,8126,0,0,,,8126,
TCONCO51,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E51,EA,1,12435,12435,0,0,,,12435,
TCONCO63,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E63,EA,1,14756,14756,0,0,,,14756,
TCONCO75,조사단가평균,해당없음,THREADLESS STEEL CONDUIT COUPLING(ONE TOUCH),E75,EA,1,17049,17049,0,0,,,17049,
TCONCNO19,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E19,EA,1,4095,4095,0,0,,,4095,
TCONCNO25,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E25,EA,1,4432,4432,0,0,,,4432,
TCONCNO31,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E31,EA,1,5240,5240,0,0,,,5240,
TCONCNO39,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E39,EA,1,6528,6528,0,0,,,6528,
TCONCNO51,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E51,EA,1,9605,9605,0,0,,,9605,
TCONCNO63,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E63,EA,1,11820,11820,0,0,,,11820,
TCONCNO75,조사단가평균,해당없음,THREADLESS STEEL CONDUIT CONNECTOR(ONE TOUCH),E75,EA,1,14196,14196,0,0,,,14196,
TCONN19,조사단가평균,전-5-1,THREADLESS STEEL CONDUIT NORMAL BEND,E19,EA,1,2170,2170,13683,13683,,,15853,
